representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_count_l2,nearest_centroid,119,4,136,0.16666666666666666,0.1375,within_genus_species,Acinetobacter,69,clean,label
ckmer4_count_l2,logistic,119,4,136,0.2222222222222222,0.21626984126984125,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_l2,nearest_centroid,119,4,147,0.19444444444444445,0.155,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_l2,logistic,119,4,147,0.25,0.24620927318295738,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_moment_l2,nearest_centroid,119,4,187,0.2222222222222222,0.2050125313283208,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_moment_l2,logistic,119,4,187,0.25,0.23669467787114845,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,119,4,222,0.2222222222222222,0.19071428571428573,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_multiscale_mean_l2,logistic,119,4,222,0.2222222222222222,0.2056216931216931,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_multiscale_l2,nearest_centroid,119,4,297,0.2222222222222222,0.19071428571428573,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_multiscale_l2,logistic,119,4,297,0.2777777777777778,0.2709138655462185,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_anchor_l2,nearest_centroid,119,4,225,0.19444444444444445,0.16834586466165413,within_genus_species,Acinetobacter,69,clean,label
ckmer4_property_anchor_l2,logistic,119,4,225,0.19444444444444445,0.17500920132499082,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,nearest_centroid,119,4,511,0.2222222222222222,0.21570758738277923,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,logistic,119,4,511,0.3055555555555556,0.29207634470792365,within_genus_species,Acinetobacter,69,clean,label
ckmer5_property_moment_l2,nearest_centroid,119,4,558,0.2777777777777778,0.26590909090909093,within_genus_species,Acinetobacter,69,clean,label
ckmer5_property_moment_l2,logistic,119,4,558,0.25,0.2452731092436975,within_genus_species,Acinetobacter,69,clean,label
ckmer5_property_multiscale_l2,nearest_centroid,119,4,668,0.25,0.241937564499484,within_genus_species,Acinetobacter,69,clean,label
ckmer5_property_multiscale_l2,logistic,119,4,668,0.2777777777777778,0.26823529411764707,within_genus_species,Acinetobacter,69,clean,label
ckmer5_property_anchor_l2,nearest_centroid,119,4,596,0.2222222222222222,0.2184190078926921,within_genus_species,Acinetobacter,69,clean,label
ckmer5_property_anchor_l2,logistic,119,4,596,0.25,0.24644957983193277,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,nearest_centroid,119,4,147,0.25,0.25208855472013364,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,logistic,119,4,147,0.3333333333333333,0.3359326625386997,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,119,4,658,0.19444444444444445,0.19339490769023682,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,119,4,658,0.2777777777777778,0.26872469635627527,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,nearest_centroid,119,4,698,0.19444444444444445,0.1927396133278486,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,logistic,119,4,698,0.25,0.24560954816709296,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,nearest_centroid,119,4,808,0.19444444444444445,0.19339490769023682,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,logistic,119,4,808,0.2777777777777778,0.27990196078431373,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,nearest_centroid,119,4,736,0.19444444444444445,0.19339490769023682,within_genus_species,Acinetobacter,69,clean,label
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,logistic,119,4,736,0.25,0.24830855419090714,within_genus_species,Acinetobacter,69,clean,label
ckmer4_count_l2,nearest_centroid,76,3,136,0.30434782608695654,0.28583877995642704,within_genus_species,Burkholderia,69,clean,label
ckmer4_count_l2,logistic,76,3,136,0.30434782608695654,0.2828282828282828,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_l2,nearest_centroid,76,3,147,0.34782608695652173,0.3277777777777778,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_l2,logistic,76,3,147,0.17391304347826086,0.1698005698005698,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_moment_l2,nearest_centroid,76,3,187,0.34782608695652173,0.3277777777777778,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_moment_l2,logistic,76,3,187,0.2608695652173913,0.23925197609408136,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,76,3,222,0.34782608695652173,0.3277777777777778,within_genus_species,Burkholderia,69,clean,label
ckmer4_property_multiscale_mean_l2,logistic,76,3,222,0.21739130434782608,0.20971055088702148,within_genus_species,Burkholderia,69,clean,label
